,adult,budget,genres,id,original_language,original_title,overview,popularity,production_companies,runtime,spoken_languages,status,vote_average,vote_count
34854,False,0,"[{'id': 18, 'name': 'Drama'}]",318373,fr,Bébé Tigre,"Bébé Tigre is Many, a 17-year-old Indian boy who has been living in France for two years. A teenager like any other, he divides his time between school, friends, and his girlfriend. But the pressures placed on him by his parents in India force him to put his own life at risk...",0.579716,"[{'name': 'Darius Films', 'id': 5486}, {'name': 'Dharamsala', 'id': 6937}]",87.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,6.2,8.0
17185,False,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",15543,en,Penny Dreadful,"Young Penny goes on a retreat with her psychologist; the intention is to help her overcome her phobia, an intense fear of cars. Unexpected events find her in a nightmarish situation where her worst fears come true.",2.575856,"[{'name': 'Brandes Films International', 'id': 4358}]",92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.4,34.0
22304,False,600000,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",69278,es,Fase 7,Inside a quarantined apartment building a man must protect his pregnant wife from his new neighbors.,1.985124,"[{'name': 'Instituto Nacional de Cine y Artes Audiovisuales (INCAA)', 'id': 6458}]",95.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,4.9,23.0
36607,False,0,"[{'id': 10749, 'name': 'Romance'}]",20390,hi,No Entry,"Kishen is a newspaper baron married to Kaajal, a housewife who suspects her husband of having numerous non-existent affairs. Pooja is the believing wife of ever-philandering globe-trotting businessman Prem. Kishen and Prem are thick pals. Sanjana falls in love with Prem's loyal photographer Sunny and they get engaged. Kishen gets tired of his jealous wife and tries to have an affair with Bobby, a call girl. Due to circumstances, Bobby is introduced as the wife of Kishen during Sanjana's wedding, and as Sunny's wife to Kaajal. It becomes a bundle of confusions when all three couples meet.",1.382637,"[{'name': 'BSK Network and Entertainment', 'id': 3764}]",158.0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,7.0,11.0
21839,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",55370,fr,Le voleur,"In Paris around 1900, Georges Randal is brought up by his wealthy uncle, who steals his inheritance. Georges hopes to marry his cousin Charlotte, but his uncle arranges for her to marry a rich neighbour. As an act of revenge, Georges steals the fiance's family jewels, and enjoys the experience so much that he embarks upon a life-time of burglary.",1.9341970000000002,[],120.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,6.4,14.0
2954,False,0,"[{'id': 18, 'name': 'Drama'}]",29154,en,Stand and Deliver,"Jaime Escalante is a mathematics teacher in a school in a hispanic neighbourhood. Convinced that his students have potential, he adopts unconventional teaching methods to try and turn gang members and no-hopers into some of the country's top algebra and calculus students.",5.355761,"[{'name': 'Warner Bros.', 'id': 6194}]",103.0,"[{'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,7.3,60.0
42986,False,0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",408219,en,Population Zero,"In 2009 three young men were killed in a remote part of Yellowstone National Park. Authorities never found the murderer. He found them! Hours after the trio were gunned down, Dwayne Nelson confessed to the crime. Despite this Nelson was allowed to go free because of an American Constitution loophole. Documentarian Julian T. Pinder travels to Yellowstone in a compelling chase for truth behind a crime that should have rocked the nation. How did a guilty man go free? In his hunt for answers Pinder risks his own life when he finds evidence that could re-open the case years later.",0.939939,[],84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.0,10.0
5240,False,0,"[{'id': 27, 'name': 'Horror'}]",29318,en,Devil Doll,An evil hyponotist/ventriloquist plots to gain an heiress' millions.,0.6709510000000001,"[{'name': 'Galaworldfilm Productions', 'id': 15296}, {'name': 'Gordon Films', 'id': 15297}]",81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,4.0,10.0
6214,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",117269,en,Lambada,"Kevin Laird is a Beverly Hills school teacher by day and a mystery man by night. Using his lambada dance moves to first earn the kid's respect and acceptance, Kevin then teaches them academics. But when a jealous student exposes Kevin's double life, his two worlds collide, threatening his job and reputation.",0.802118,"[{'name': 'Cannon Films', 'id': 4110}, {'name': 'Film and Television Corporation', 'id': 93636}]",104.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,4.6,5.0
35082,False,0,"[{'id': 35, 'name': 'Comedy'}]",366548,fr,Les Dissociés,,2.896562,"[{'name': 'Suricate', 'id': 67037}]",0.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,7.5,64.0
30581,False,0,"[{'id': 18, 'name': 'Drama'}]",94585,en,Vig,"Vinnie's a bookie, happily married, running his operation for 30 years out of his bar in Brooklyn. Times change, the boys up the chain want a bigger profit, so Vinnie's expendable He's assigned a hotheaded kid, Tony, the nephew of a local mobster. Vinnie's told to school the lad, use him for collections, and teach him some sense. What Vinnie doesn't know is that once Tony learns the ropes, Vinnie will be out. Tensions mount when Tony goes around Vinnie's paternalistic ways, takes a bet from an unemployed alcoholic, and demands that the loser's wife pay the vig in trade. Is there any way out for Vinnie - with or without his good name?",0.6389199999999999,"[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'Barwood Films', 'id': 3645}, {'name': 'Angry Mob', 'id': 40243}]",90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,4.8,2.0
13362,False,4000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",50318,en,Go Go Tales,A financial struggle between owners of a go-go club threatens its future.,4.382184,"[{'name': 'Surreel', 'id': 11992}, {'name': 'De Negris Productions', 'id': 58839}, {'name': 'Bellatrix', 'id': 58840}]",96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.4,14.0
29831,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",258099,en,Just Before I Go,"Ted Morgan has been treading water for most of his life. After his wife leaves him, Ted realizes he has nothing left to live for.  Summoning the courage for one last act, Ted decides to go home and face the people he feels are responsible for creating the shell of a person he has become.  But life is tricky.  The more determined Ted is to confront his demons, to get closure, and to withdraw from his family, the more Ted is yanked into the chaos of their lives. So, when Ted Morgan decides to kill himself, he finds a reason to live.",6.528444,"[{'name': 'Coquette Productions', 'id': 2580}, {'name': 'New Artists Alliance', 'id': 5124}]",95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.3,122.0
15223,False,0,"[{'id': 53, 'name': 'Thriller'}]",7346,cn,文雀,"Kei (Simon Yam) is the experienced leader of a team of pickpockets — also known as ""Sparrows"" in HK slang. He enjoys a carefree lifestyle taking photos. One day a dashing beauty, Chun-Lei (Kelly Lin), suddenly appears in Kei's viewfinder. Kei is mesmerized. But behind Chun-Lei's attractive facade lies a mysterious past and a mission to set herself free.",1.417527,"[{'name': 'Milky Way Image Company', 'id': 5632}]",87.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,6.4,22.0
34451,False,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}]",86413,en,"Come Back, Africa","Come Back, Africa chronicles the life of Zachariah, a black South African living under the rule of the harsh apartheid government in 1959.",0.381912,[],95.0,[],Released,7.0,1.0
19325,False,0,"[{'id': 18, 'name': 'Drama'}]",109584,en,Broken,Three suburban English families' lives intertwine with tragic consequences.,7.305256,"[{'name': 'BBC Films', 'id': 288}, {'name': 'Bill Kenwright Films', 'id': 7058}, {'name': 'Cuba Pictures', 'id': 50082}]",91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.5,86.0
12161,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",18731,cn,黃飛鴻之鐵雞鬥蜈蚣,"Jet Li stars in this comic spectacle as a Chinese ""Robin Hood"" who stumbles upon a kidnapping scheme after unwittingly opening a martial arts school next to a brothel!",1.567115,[],111.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'pl', 'name': 'Polski'}]",Released,5.4,16.0
24853,False,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",73091,en,The Hanoi Hilton,Lionel Chetwynd's film documents the horrific struggles that faced American POWs held in the North Vietnamese prison Hoa Lo -- more infamously known as the Hanoi Hilton -- between 1964 and 1975. Williamson (Michael Moriarty) leads a group of American servicemen who are prisoners at the detention camp. He assumes command after Cathcart (Lawrence Pressman) is dragged off to be tortured.,0.390142,"[{'name': 'Cannon Group', 'id': 1444}, {'name': 'Golan-Globus Productions', 'id': 13549}]",126.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'vi', 'name': 'Tiếng Việt'}]",Released,7.0,2.0
31861,False,0,"[{'id': 18, 'name': 'Drama'}]",312138,fr,Les Révoltés,"Pavel has a good job in the village factory and is sure to marry Anja, his best friend from childhood. It's written in the Book of Life. But reality doesn't follow books.",0.23044699999999999,[],82.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,4.0,1.0
31076,False,0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",192573,mr,Zapatlela,"Inspector Mahesh kills a gangster but his spirit enters into a near by doll. Later, a puppetry master receives this doll as a gift but this doll will turn his good life into hell.",0.0008439999999999999,[],150.0,"[{'iso_639_1': 'mr', 'name': ''}]",Released,9.0,1.0
8375,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",20642,en,Double Wedding,A bohemian free spirit (William Powell) helps meek Waldo (John Beal) win back his fiancée (Florence Rice) and falls in love with her over-controlling sister (Myrna Loy) in the process.,0.23365300000000003,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,7.5,2.0
28737,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",69999,en,Absolute Aggression,"In the year 2011, the prison system is run by the private sector. Business tycoon R.D. Crowley (Robert Davi) has created a Virtual Reality prison. The prisoner's bodies are locked in suspended animation while their mind traverses the lethal labyrinth of games Crowley has designed for them. Crowley allows wealthy sportsmen to participate, for a price, in deadly VR combat with the prisoners.",0.037647,[],80.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Rumored,1.0,1.0
39700,False,0,"[{'id': 35, 'name': 'Comedy'}]",173385,en,Ο Καλύτερός μου Φίλος,"My Best Friend is the outrageous story of two men, friends since childhood, who have spent their lives tormenting one another. It is only when Constantinos discovers Alekos in bed with his wife that their friendship and their respective marriages finally collapse into a death spiral of sex, deceit and irrepressible humor. As events unfold another deception, one concealed by both men's wives, opens the door to incredible erotic intrigue. Antonis Kafetzopoulos delivers a virtuoso performance in this surrealistic comedy about lies, friendship, love and deadlock",0.705006,[],0.0,"[{'iso_639_1': 'el', 'name': 'ελληνικά'}]",Released,6.0,6.0
8284,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",32558,en,Portrait of Jennie,A mysterious girl inspires a struggling artist.,2.2315,"[{'name': 'Vanguard Films', 'id': 614}, {'name': 'Selznick International Pictures', 'id': 1553}]",86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.9,18.0
38020,False,0,[],110282,en,A Way of Life,"At 17 LeighAnne Williams has a six month old baby to look after, with only the help of three teenage squatters who flog stolen gear to make ends meet. A neighbour (actually from Turkey) across the street becomes target to her growing paranoia that Social Services are going to take her daughter, Rebecca, away from her. Her behavior becoming increasingly desperate as her delusions over her neighbor grow.",0.109945,[],91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,8.0,2.0
19981,False,26350000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",84305,en,Lay the Favorite,A former stripper's talent with numbers lands her a job with a professional gambler who runs a sports book in Las Vegas.,5.153137999999999,"[{'name': 'Likely Story', 'id': 1785}, {'name': 'Random Films', 'id': 7262}, {'name': 'Focus Features', 'id': 10146}]",94.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,4.9,69.0
40683,False,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",334930,cn,暴瘋語,"Fan Kwok Sang's schizophrenic breakdown led to the accidental death of his wife Wai Ling, and he was committed to a psychiatric hospital three years ago. Now Fan is ready to be released, with Dr. Chow Ming Kit vouching for him even though his senior objects. However, Fan finds it hard to cope with his new life. Something bad happens to him and Chow becomes obsessed in trying to defend his patient, as well as save his own reputation.",1.177078,"[{'name': 'Sil-Metropole Organisation', 'id': 5686}, {'name': 'Film Unlimited', 'id': 28013}, {'name': 'Bona Film Group', 'id': 30148}]",98.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,5.0,2.0
27079,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",114570,el,Οι κυνηγοί,"During a hunting party on New Year's Eve 1976, five representatives of the bourgeoisie encounter with their companion the body of a partisan from the Civil War of the late forties. What they are most confused about is the fact that the corpse that lies at their feet is still bleeding…",0.362132,[],165.0,"[{'iso_639_1': 'el', 'name': 'ελληνικά'}]",Released,6.0,2.0
21199,False,0,"[{'id': 99, 'name': 'Documentary'}]",124071,en,How to Make Money Selling Drugs,"Ten easy steps show you how to make money from drugs, featuring a series of interviews with drug dealers, prison employees, and lobbyists arguing for tougher drug laws.",2.9778830000000003,"[{'name': 'Bert Marcus Productions', 'id': 3924}]",96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.8,46.0
13386,False,0,"[{'id': 37, 'name': 'Western'}]",37309,en,Canyon Passage,Businessman Logan Stuart is torn between his love of two very different women in 1850s Oregon and his loyalty to a compulsive gambler friend who goes over the line.,0.719063,"[{'name': 'Universal Pictures', 'id': 33}]",92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.8,12.0
16986,False,0,[],72596,is,Bíódagar,"This Icelandic tale, loosely based on the real-life experiences of director Fridrik Fridriksson tells the saga of a boyhood spent in Iceland in the 1960s.",0.141973,[],82.0,"[{'iso_639_1': 'is', 'name': 'Íslenska'}]",Released,5.5,2.0
6770,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",11657,fr,Le Cercle Rouge,"Master thief Corey is fresh out of prison. But instead of toeing the line of law-abiding freedom, he finds his steps leading back to the shadowy world of crime, crossing those of a notorious escapee and alcoholic ex-cop. As the unlikely trio plots a heist against impossible odds, their trail is pursued by a relentless inspector, and fate seals their destinies.",6.616907,"[{'name': 'Les Films Corona', 'id': 1398}, {'name': 'Euro International Film (EIA)', 'id': 8930}, {'name': 'Selenia Cinematografica', 'id': 11398}]",140.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,7.6,116.0
18464,False,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",57190,en,Vlad,Death and spiritual torment stalk three American students visiting the Carpathian mountain homeland of Vlad Tepes.,0.8497030000000001,"[{'name': 'Quantum Entertainment', 'id': 38617}]",98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,3.1,7.0
25623,False,2500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",64264,ru,Glyanets,"A pretty, young girl from a coal-mining town comes to Moscow with dreams of becoming a supermodel in this satirical look at the fashion industry.",0.880482,[],118.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,3.6,6.0
23606,False,0,"[{'id': 18, 'name': 'Drama'}]",139575,sv,Bitchkram,"Kristin counts down the days to her high school graduation, when she'll finally get to leave her small town and her manipulative sister behind, for the New York of her dreams. Everything is perfect, and the local paper has promised to publish Kristin's columns about the city that never sleeps. But Kristin misses her flight and, to escape total humiliation, instead ends up hiding out at the house of the peculiar young girl Andrea, far out on the countryside. In this house of Nowhere, Kristin brings Andrea along to the pulsating heart of New York on a big virtual adventure which she chronicles for everyone at home to follow. But then reality comes knocking.",0.27363699999999996,"[{'name': 'Sveriges Television (SVT)', 'id': 3221}, {'name': 'Cinepost Studios', 'id': 3376}, {'name': 'Sonet Film AB', 'id': 7937}]",101.0,"[{'iso_639_1': 'sv', 'name': 'svenska'}]",Released,6.5,2.0
37656,False,0,"[{'id': 35, 'name': 'Comedy'}]",63065,de,Neue Vahr Süd,"Frank Lehmann, 20, still lives with his parents in the dreary high-rise housing project ""Neue Vahr"" in Bremen. It's the year 1980 and Frank gets drafted to the army even though his friends assure him that ""he's not really the guy for it"". When he gets back home, after his first week at the army, his Dad has turned his room into a TV repair shop, so Frank has to move out. Luckily his old friend Martin is starting a commune with two other Punks in Bremens leftist borough ""Viertel"". Frank, without further ado rents the unlivable walk-through room. From now on Frank is a traveler between the Worlds. Each week he goes from the Army, with all the unconditional rules and regulations to the commune where his friends are preaching the world revolution. Frank is trying to avoid to stick out, but fails miserably, in both worlds.",0.775613,"[{'name': 'Radio Bremen', 'id': 1775}, {'name': 'Westdeutscher Rundfunk', 'id': 7950}]",90.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,6.1,12.0
11613,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",42721,ja,けんかえれじい,"High schooler Kiroku Nanbu yearns for the prim, Catholic Michiko, but her only desire is to reform Kiroku’s sinful tendencies. Hormones raging, Kiroku channels his unsatisfied lust into the only outlet available: savage, crazed violence.",0.9635360000000001,"[{'name': 'Nikkatsu', 'id': 955}]",86.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,7.1,7.0
16563,False,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",31903,en,History Is Made at Night,"The obsessive and jealous shipowner Bruce Vail does not accept the divorce his wife Irene Vail achieved in London, and he hires his driver Michael Browsky to forge adultery with Irene in Paris to make the decree null. However, she is rescued by the headwaiter Paul Dumond, who punches Michael and locks Bruce and his private eyes in a locker, and they spend a wonderful night together in the restaurant Chateau Bleu, where Paul and his best friend Chef Cesare work, and they fall in love for each other. Meanwhile, Bruce kills Michael and blackmails Irene, blaming Paul and forcing her to return with him to New York.",0.75071,"[{'name': 'Walter Wanger Productions', 'id': 10096}]",97.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,4.6,7.0
25093,False,1,"[{'id': 18, 'name': 'Drama'}]",78646,sv,Apflickorna,"When Emma meets Cassandra, they initiate a relationship filled with physical and psychological challenges. Emma does whatever it takes to master the rules of the game. Lines are crossed and the stakes get higher and higher. Despite this, Emma can't resist the intoxicating feeling of total control.",1.006534,"[{'name': 'Atmo Media Network', 'id': 4226}]",84.0,"[{'iso_639_1': 'sv', 'name': 'svenska'}]",Released,4.7,12.0
31320,False,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",207454,en,Mystery Woman,"A famous writer is found hanged in his office. At first, all police investigations conclude that it was suicide, but when Samantha Kinsey, owner of Seller 'Mystery Woman' starts his own investigation, he discovers that there is chance that has been committed murder. The film is the first in a long series of American TV movies called"" Mystery Woman"", in which Samantha Kinsey, the owner of a bookshop specializing in thrillers and suspense is involved in the resolution of real cases.",0.708052,[],88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,0.0,1.0
44040,False,0,[],47798,en,The New Tenants,"A prying neighbor, a glassy-eyed drug dealer, and a husband brandishing both a weapon and a vendetta make up the welcome wagon. Set amidst the as-yet-unopened boxes and the hopes for a fresh start of two men on what might just be the worst moving day ever. Their new apartment reveals its terrifying history in a film that is by turns funny, frightening, and unexpectedly romantic.",0.330757,[],20.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.6,7.0
11994,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",12455,fr,Le petit Lieutenant,A rookie policeman from provincial Le Havre volunteers for the high pressure Parisian homicide bureau and is assigned to a middle-aged woman detective.,1.316087,[],110.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,6.0,17.0
36396,False,1000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",69075,en,The Snake King,An object is found that points to the secret of eternal youth so a research team is sent to find the fountain only to find it is protected by a giant snake,0.579663,"[{'name': 'Nu Image Films', 'id': 925}, {'name': 'Active Entertainment', 'id': 10345}, {'name': 'Equity Pictures Medienfonds GmbH & Co. KG III', 'id': 10885}]",96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,3.4,7.0
34674,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",71767,es,Atraco a las tres,"Galindo works in a bank. One day he convinces the other employees in the bank to plan a hold-up in the bank they are working. They prepare everything carefully. However, real robbers come just before the fake ones.",0.36273,"[{'name': 'Hesperia Films S.A.', 'id': 4780}, {'name': 'Pedro Masó Producciones Cinematográficas', 'id': 31131}]",92.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,6.3,7.0
25634,False,10,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",136741,ru,Myn Bala,"A universal story about the freedom of the human spirit and the struggle against slavery and despotism, about love, loss and betrayal. It is seen through the eyes of simple Kazakh kids and teenagers.",2.267594,"[{'name': 'Kazakhfilm Studios', 'id': 3623}]",133.0,"[{'iso_639_1': 'kk', 'name': 'қазақ'}, {'iso_639_1': 'mn', 'name': ''}]",Released,6.6,5.0
8367,False,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",17030,en,The Petrified Forest,"Gabby lives and works at her dads small diner out in the desert. She can't stand it and wants to go and live with her mother in France. Along comes Alan, a broke man with no will to live, who is traveling to see the pacific, and maybe to drown in it. Meanwhile Duke Mantee a notorious killer and his gang is heading towards the diner where Mantee plan on meeting up with his girl.",3.225088,"[{'name': 'Warner Bros.', 'id': 6194}]",82.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,7.1,53.0
22583,False,2000000,"[{'id': 18, 'name': 'Drama'}]",177047,en,Decoding Annie Parker,The lives of a breast-cancer patient and a researcher who is trying to prove a genetic link to cancer intersect in a groundbreaking study.,3.8805410000000005,"[{'name': 'Media House Capital', 'id': 13235}, {'name': 'Unified Pictures', 'id': 13238}, {'name': 'Decoding Annie Parker', 'id': 50649}, {'name': 'Ozymandias Productions', 'id': 50650}]",91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.5,38.0
17448,False,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",80613,en,"Eversmile, New Jersey","Traveling dentist O'Connell traverses South America on his motorcycle for the 'Eversmile' foundation of New Jersey, in a fight not only against caries, but also against fear, ignorance, indifference - and established antediluvian dentists. During a stop at a lonesome garage he meets Estella, who is supposed to marry a few days later. However she'd rather come with him - to meet a former boyfriend in another town, she says. Expecting problems, he refuses to take her, but she tricks him into it and then tries hard to convince him of her qualities and let her stay with him.",0.511066,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'J&M Entertainment', 'id': 12474}, {'name': 'Los Films Del Camino', 'id': 35984}]",91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.5,2.0
40138,False,0,"[{'id': 53, 'name': 'Thriller'}]",369443,ko,그놈이다,"Jang-woo had only his sister to live for until she is brutally murdered. During a ritual to send her spirit to heaven, he comes  across a suspicious man, who manages to escape from the scene. He begins to suspect a local pharmacist and keeps an eye on  him. Although Jang-woo is absolutely convinced that the pharmacist is the killer, no one believes him because the pharmacist is  considered the kindest man in town. But he gets help from a possessed woman named Si-eun who foresees how people die. Their  pursuit begins and Si-eun predicts yet another murder.",2.066571,"[{'name': 'Finecut', 'id': 14286}, {'name': 'Sang Sang Film', 'id': 68968}, {'name': 'CGV Arthouse', 'id': 68969}]",109.0,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,5.8,9.0
4166,False,0,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",33743,en,"The 5,000 Fingers of Dr. T.","Young Bart Collins lives with his widowed mother Heloise. The major blight on Bart's existence is the hated piano lessons he is forced to endure under the tutelage of the autocratic Dr. Terwilliker. Bart feels that his mother has fallen under Terwilliker's sinister influence, and gripes to visiting plumber August Zabladowski, without much result. While grimly hammering away at his lessons, Bart dozes off and enters a fantastical musical dream.",3.52006,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Stanley Kramer Productions', 'id': 893}]",89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.7,12.0
6404,False,0,"[{'id': 10769, 'name': 'Foreign'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",35265,it,L'imbalsamatore,"Peppino is an aging taxidermist constantly ridiculed for being short and somewhat creepy. He meets Valerio, a handsome young man fascinated by Peppino's work. Peppino, in turn, becomes entranced by Valerio and offers him a large salary to come work as his assistant. But when Valerio meets Deborah, their fledgling romance is threatened by an insanely jealous third wheel.",1.4055799999999998,"[{'name': 'Fandango', 'id': 2441}]",101.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,7.0,17.0
10005,False,30000000,"[{'id': 35, 'name': 'Comedy'}]",8976,en,A Lot Like Love,"On a flight from Los Angeles to New York, Oliver and Emily make a connection, only to decide that they are poorly suited to be together. Over the next seven years, however, they are reunited time and time again, they go from being acquaintances to close friends to ... lovers?",10.596719,"[{'name': 'Mile High Productions', 'id': 2976}, {'name': 'Kevin Messick Productions', 'id': 2977}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Beacon Pictures', 'id': 10157}]",107.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.5,329.0
16735,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",57424,it,Il cuore altrove,"The Pope's tailor sends his son, a virgin at 35, to Bologna hoping he will find a woman. Nello, a classicist moved by the romantic poetry of Ovid, proves to be a good teacher and also falls hopelessly in love with the beautiful Angela Gardini. Angela, herself recently blind and then spurned by her fiancé, uses Nello: she hopes her former lover will become jealous and return to her. Nello obliges, his head full of poetry and in love at last; he's happy to be near her, knowing that she, before her disability, wouldn't have looked twice at him. Bologna or Rome, teaching or stitching, love or solitude - will Nello make choices?",0.41781499999999994,"[{'name': 'Rai Cinemafiction', 'id': 238}]",0.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,5.5,8.0
